"season","total","height"
"1963",0,231
"1964",0,159
"1964",0,162
"1964",0,165
"1964",0,168
"1964",0,171
"1964",0,174
"1964",0,177
"1964",3,180
"1964",10,183
"1964",13,186
"1964",11,189
"1964",18,192
"1964",13,195
"1964",13,198
"1964",31,201
"1964",12,204
"1964",7,207
"1964",2,210
"1964",1,213
"1964",1,216
"1964",0,219
"1964",0,222
"1964",0,225
"1964",0,228
"1964",0,231
"1965",0,159
"1965",0,162
"1965",0,165
"1965",0,168
"1965",0,171
"1965",0,174
"1965",0,177
"1965",1,180
"1965",12,183
"1965",10,186
"1965",6,189
"1965",19,192
"1965",15,195
"1965",17,198
"1965",25,201
"1965",14,204
"1965",6,207
"1965",2,210
"1965",2,213
"1965",3,216
"1965",0,219
"1965",0,222
"1965",0,225
"1965",0,228
"1965",0,231
"1966",0,159
"1966",0,162
"1966",0,165
"1966",0,168
"1966",1,171
"1966",0,174
"1966",0,177
"1966",3,180
"1966",12,183
"1966",11,186
"1966",6,189
"1966",11,192
"1966",24,195
"1966",15,198
"1966",32,201
"1966",6,204
"1966",8,207
"1966",4,210
"1966",1,213
"1966",1,216
"1966",0,219
"1966",0,222
"1966",0,225
"1966",0,228
"1966",0,231
"1967",0,159
"1967",0,162
"1967",0,165
"1967",0,168
"1967",0,171
"1967",0,174
"1967",0,177
"1967",1,180
"1967",15,183
"1967",7,186
"1967",6,189
"1967",10,192
"1967",19,195
"1967",14,198
"1967",34,201
"1967",9,204
"1967",9,207
"1967",3,210
"1967",5,213
"1967",1,216
"1967",0,219
"1967",0,222
"1967",0,225
"1967",0,228
"1967",0,231
"1968",0,159
"1968",0,162
"1968",0,165
"1968",0,168
"1968",0,171
"1968",0,174
"1968",0,177
"1968",1,180
"1968",21,183
"1968",10,186
"1968",13,189
"1968",15,192
"1968",23,195
"1968",17,198
"1968",46,201
"1968",8,204
"1968",15,207
"1968",3,210
"1968",4,213
"1968",1,216
"1968",0,219
"1968",0,222
"1968",0,225
"1968",0,228
"1968",0,231
"1969",0,159
"1969",0,162
"1969",0,165
"1969",0,168
"1969",0,171
"1969",0,174
"1969",0,177
"1969",1,180
"1969",20,183
"1969",8,186
"1969",15,189
"1969",14,192
"1969",27,195
"1969",21,198
"1969",59,201
"1969",14,204
"1969",12,207
"1969",7,210
"1969",7,213
"1969",1,216
"1969",0,219
"1969",0,222
"1969",0,225
"1969",0,228
"1969",0,231
"1970",0,159
"1970",0,162
"1970",0,165
"1970",0,168
"1970",0,171
"1970",0,174
"1970",0,177
"1970",1,180
"1970",15,183
"1970",11,186
"1970",21,189
"1970",18,192
"1970",30,195
"1970",16,198
"1970",55,201
"1970",10,204
"1970",11,207
"1970",6,210
"1970",5,213
"1970",2,216
"1970",0,219
"1970",0,222
"1970",0,225
"1970",0,228
"1970",0,231
"1971",0,159
"1971",0,162
"1971",0,165
"1971",0,168
"1971",0,171
"1971",1,174
"1971",0,177
"1971",4,180
"1971",12,183
"1971",15,186
"1971",27,189
"1971",18,192
"1971",34,195
"1971",21,198
